Sample,Band,Colony,Colony_spec,Latitude,Longitude,Year_deployed,Year_blood,Sex,Age,PC1,Fall_depart,Fall_arrival,Spring_depart,Spring_arrival
PM100,253104466,AB,AB-EBF,52.391,-113.612,2014,2014,M,SY,-0.1656,229,300,111,142
PM102,253104978,AB,AB-EBF,52.391,-113.612,2014,2014,M,ASY,-0.1927,236,282,108,129
PM103,253104983,AB,AB-EBF,52.391,-113.612,2014,2014,M,ASY,-0.1732,248,300,125,149
PM105,253104992,AB,AB-EBF,52.391,-113.612,2014,2014,M,SY,-0.1715,240,307,122,160
PM106,253104994,AB,AB-EBF,52.391,-113.612,2014,2014,F,ASY,-0.1528,229,296,113,139
PM107,253104995,AB,AB-EBF,52.391,-113.612,2014,2014,F,SY,-0.1562,239,303,130,150
PM109,253166012,NJ,NJ,40.39,-74.001,2011,2011,M,SY,0.084,255,295,103,136
PM110,253176235,PA,PA,42.115,-80.145,2012,2012,M,SY,0.017,239,284,99,136
PM113,158135758,AB,AB-EBF,52.391,-113.612,2012,2013,M,ASY,-0.1805,230,300,109,135
PM114,230158356,PA,PA,42.115,-80.145,2008,2008,F,ASY,0.0261,254,298,115,143
PM115,230170604,TAM,TX-AM,35.04,-101.933,2013,2013,F,ASY,0.0642,226,256,66,82
PM116,230170900,TAM,TX-AM,35.04,-101.933,2013,2013,F,ASY,0.0609,207,228,49,72
PM117,233122624,NJ,NJ,40.39,-74.001,2011,2011,M,ASY,0.0757,239,282,112,139
PM125,233184529,SD,SD-C,45.598,-98.31,2011,2011,M,ASY,-0.111,248,294,122,144
PM126,250110825,FLD,FL-Disney,28.36,-81.588,2013,2013,F,ASY,0.0942,187,209,11,34
PM127,250110906,FLD,FL-Disney,28.36,-81.588,2014,2014,F,ASY,0.076,198,223,48,61
PM128,250110952,FLD,FL-Disney,28.36,-81.588,2014,2014,F,ASY,0.0888,207,241,44,80
PM129b,250120662,PA,PA,42.115,-80.145,2012,2012,F,ASY,0.0227,243,288,101,131
PM131,250128166,FLD,FL-Disney,28.36,-81.588,2015,2015,M,ASY,0.0811,201,227,29,62
PM133,253104372,AB,AB-EBF,52.391,-113.612,2013,2013,F,SY,-0.1816,223,296,126,143
